id,name,type,city,area,address,phone,latitude,longitude
kelowna-the-keg,The Keg Steakhouse + Bar,,Kelowna,Orchard Park,,,,
kelowna-kelly-obryans-downtown,Kelly & Carlos O'Bryan's – Kelowna,,Kelowna,Downtown,,,,
kelowna-pretty-not-bad,Pretty Not Bad,,Kelowna,North End,,,,
kelowna-micro-bar-bites,Micro Bar & Bites,,Kelowna,Downtown,,,,
kelowna-bna-brewing,BNA Brewing Co. & Eatery,,Kelowna,Downtown,,,,
kelowna-oflannigans-pub,O'Flannigan's Pub,,Kelowna,Downtown,,,,
kelowna-central-kitchen-bar,Central Kitchen + Bar,,Kelowna,North End,,,,
kelowna-oak-cru,Oak & Cru,,Kelowna,Downtown,,,,
kelowna-gulfstream,Gulfstream,,Kelowna,Airport,,,,
kelowna-shore-line-brewing,Shore Line Brewing Co.,,Kelowna,Mission,,,,
kelowna-bernies-supper-club,Bernie's Supper Club & Lounge,,Kelowna,Downtown,,,,
kelowna-train-station-pub,Train Station Pub,,Kelowna,Downtown,,,,
kelowna-kettle-river-brewing,Kettle River Brewing Co.,,Kelowna,North End,,,,
kelowna-mid-town-station,Mid-Town Station,,Kelowna,Landmark,,,,
kelowna-browns-social-house,Browns Social House,,Kelowna,Landmark,,,,
kelowna-moxies,Moxies,,Kelowna,Orchard Park,,,,
kelowna-baxters,Baxters,,Kelowna,Orchard Park,,,,
kelowna-flip-flops-and-hops,Flip Flops and Hops,,Kelowna,Glenmore,,,,
kelowna-brants-creek-pub,Brants Creek Pub,,Kelowna,Glenmore,,,,
kelowna-red-bird,Red Bird,,Kelowna,North End,,,,
kelowna-wildling,Wildling,,Kelowna,North End,,,,
kelowna-skinny-dukes,Skinny Dukes,,Kelowna,Downtown,,,,
kelowna-ask-pablo,Ask Pablo,,Kelowna,Downtown,,,,
kelowna-leopolds-tavern,Leopold's Tavern,,Kelowna,Downtown,,,,
kelowna-king-taps-lakeside,King Taps Lakeside,,Kelowna,Downtown,,,,
kelowna-cactus-club-yacht-club,Cactus Club Cafe – Yacht Club,,Kelowna,Downtown,,,,
kelowna-cactus-club-banks-road,Cactus Club Cafe – Banks Road,,Kelowna,Orchard Park,,,,
kelowna-earls-kitchen-bar,Earls Kitchen + Bar,,Kelowna,Downtown,,,,
kelowna-canadian-brewhouse,The Canadian Brewhouse,,Kelowna,Sopa,,,,
kelowna-original-joes,Original Joe's – Kelowna,,Kelowna,Sopa,,,,
kelowna-hugos-mexican-kitchen,Hugo's Mexican Kitchen,,Kelowna,Mission,,,,
kelowna-barn-owl-brewing,Barn Owl Brewing,,Kelowna,Mission,,,,
kelowna-hotel-eldorado,Hotel Eldorado,,Kelowna,Mission,,,,
kelowna-creekside-pub,Creekside Pub,,Kelowna,Mission,,,,
kelowna-dunnenzies-mission,DunnEnzies – Mission,,Kelowna,Mission,,,,
kelowna-wings-rutland,Wings – Rutland,,Kelowna,Rutland,,,,
kelowna-packing-house-pub,Packing House Pub,,Kelowna,Rutland,,,,
kelowna-post-haus-pub,Post Haus Pub,,Kelowna,Rutland,,,,
kelowna-joey,JOEY Kelowna,,Kelowna,Orchard Park,,,,
west-kelowna-quails-gate,Quails' Gate Old Vines Restaurant,,West Kelowna,West Kelowna,,,,
west-kelowna-hatching-post,The Hatching Post,,West Kelowna,West Kelowna,,,,
west-kelowna-modest-butcher,The Modest Butcher,,West Kelowna,West Kelowna,,,,
west-kelowna-19-greens,19 Greens,,West Kelowna,West Kelowna,,,,
west-kelowna-landing-kitchen-bar,The Landing Kitchen + Bar,,West Kelowna,West Kelowna,,,,
west-kelowna-original-joes,Original Joe's – West Kelowna,,West Kelowna,West Kelowna,,,,
west-kelowna-kelly-obryans,Kelly & Carlos O'Bryan's – West Kelowna,,West Kelowna,West Kelowna,,,,
lake-country-woodys-pub,Woody's Pub,,Lake Country,Lake Country,,,,
lake-country-turtle-bay-pub,Turtle Bay Pub,,Lake Country,Lake Country,,,,
lake-country-block-one,BLOCK ONE,,Lake Country,Lake Country,,,,
lake-country-garden-bistro-peak-cellars,Garden Bistro at Peak Cellars,,Lake Country,Lake Country,,,,
lake-country-britannia-brewing,Britannia Brewing,,Lake Country,Lake Country,,,,
