id,name,type,city,area,address,phone,latitude,longitude
kelowna-the-keg,The Keg Steakhouse + Bar,,Kelowna,Orchard Park,"1825 Underhill St, Kelowna, BC V1X 7E1",,49.8815354,-119.4368404
kelowna-kelly-obryans-downtown,Kelly & Carlos O'Bryan's – Kelowna,,Kelowna,Downtown,"262 Bernard Ave, Kelowna, BC V1Y 6N4",,49.8849761,-119.4943934
kelowna-pretty-not-bad,Pretty Not Bad,,Kelowna,North End,"740 Clement Ave #1, Kelowna, BC V1Y 7C9",,49.8938238,-119.4901693
kelowna-micro-bar-bites,Micro Bar & Bites,,Kelowna,Downtown,"1500 Water St, Kelowna, BC V1Y 1J8",,49.8859965,-119.4993091
kelowna-bna-brewing,BNA Brewing Co. & Eatery,,Kelowna,Downtown,"1250 Ellis St, Kelowna, BC V1Y 1Z4",,49.8927871,-119.4963678
kelowna-oflannigans-pub,O'Flannigan's Pub,,Kelowna,Downtown,"319 Queensway, Kelowna, BC V1Y 8E6",,49.8871373,-119.4985224
kelowna-central-kitchen-bar,Central Kitchen + Bar,,Kelowna,North End,"1155 Ellis St, Kelowna, BC V1Y 1Z5",,49.894552,-119.4957217
kelowna-oak-cru,Oak & Cru,,Kelowna,Downtown,"1310 Water St, Kelowna, BC V1Y 9P4",,49.8916466,-119.5002773
kelowna-gulfstream,Gulfstream,,Kelowna,Airport,"5505 Airport Way, Kelowna, BC V1V 3C3",,49.951052,-119.3911489
kelowna-shore-line-brewing,Shore Line Brewing Co.,,Kelowna,Mission,"3477 Lakeshore Rd #116, Kelowna, BC V1W 0A9",,49.855027,-119.4924945
kelowna-bernies-supper-club,Bernie's Supper Club & Lounge,,Kelowna,Downtown,"353 Bernard Ave, Kelowna, BC V1Y 6N6",,49.8860585,-119.4982884
kelowna-train-station-pub,Train Station Pub,,Kelowna,Downtown,"1177 Ellis St, Kelowna, BC V1Y 1Z5",,49.8939424,-119.495366
kelowna-kettle-river-brewing,Kettle River Brewing Co.,,Kelowna,North End,"731 Baillie Ave, Kelowna, BC V1Y 7E4",,49.8961517,-119.4898997
kelowna-mid-town-station,Mid-Town Station,,Kelowna,Landmark,"1615 Dickson Ave #200, Kelowna, BC V1Y 0B1",,49.8805206,-119.4647523
kelowna-browns-social-house,Browns Social House,,Kelowna,Landmark,"100-1544 Harvey Ave, Kelowna, BC V1Y 6G2",,49.8823555,-119.4680086
kelowna-moxies,Moxies,,Kelowna,Orchard Park,"1730 Cooper Rd, Kelowna, BC V1Y 8V5",,49.8828606,-119.4465695
kelowna-baxters,Baxters Bar and Grill,,Kelowna,Orchard Park,"1745 Spall Rd, Kelowna, BC V1Y 4P7",,49.8834095,-119.4561243
kelowna-flip-flops-and-hops,Flip Flops and Hops,,Kelowna,Glenmore,"1974 Kane Rd #300, Kelowna, BC V1V 2E5",,49.9148301,-119.4438755
kelowna-brants-creek-pub,Brants Creek Pub,,Kelowna,Glenmore,"435 Glenmore Rd, Kelowna, BC V1V 1Y5",,49.915053,-119.4481979
kelowna-red-bird,Red Bird,,Kelowna,North End,"1080 Richter St, Kelowna, BC V1Y 2K5",,49.8961066,-119.4916947
